state_name,party,name,twitter_handle
Alabama,republican,Kay Ivey,GovernorKayIvey
Alaska,republican,Mike Dunleavy,GovDunleavy
Arizona,republican,Douglas Ducey,dougducey
Arkansas,republican,Asa Hutchinson,AsaHutchinson
Florida,republican,Ronald DeSantis,rondesantisfl
Georgia,republican,Brian P. Kemp,GovKemp
Idaho,republican,Brad Little,GovernorLittle
Indiana,republican,Eric Holcomb,GovHolcomb
Iowa,republican,Kimberly Reynolds,kimreynoldsia
Maine,republican,Janet Mills,GovJanetMills
Maryland,republican,Lawrence Hogan,LarryHogan
Massachusetts,republican,Charles Baker, massgovernor
Mississippi,republican,Tate Reeves,tatereeves
Missouri,republican,Michael Parson,mikeparson
Nebraska,republican,John Ricketts,GovRicketts
New Hampshire,republican,Christopher Sununu,GovChrisSununu
North Dakota,republican,Douglas Burgum,DougBurgum
Ohio,republican,Michael DeWine,mikedewine
Oklahoma,republican,Kevin Stitt,GovStitt
South Carolina,republican,Henry McMaster,henrymcmaster
South Dakota,republican,Kristi Noem,kristinoem
Tennessee,republican,Bill Lee,GovBillLee
Texas,republican,Gregory Abbott,GregAbbott_TX
Utah,republican,Gary Herbert,GovHerbert
Vermont,republican,Philip Scott,GovPhilScott
Wyoming,republican,Mark Gordon,GovernorGordon
